"date","yt"
"1946-01",122.640
"1946-02",120.888
"1946-03",164.688
"1946-04",147.168
"1946-05",171.696
"1946-06",228.636
"1946-07",124.392
"1946-08",155.928
"1946-09",217.248
"1946-10",176.076
"1946-11",142.788
"1946-12",196.224
"1947-01",228.636
"1947-02",234.768
"1947-03",319.740
"1947-04",241.776
"1947-05",151.548
"1947-06",352.152
"1947-07",239.148
"1947-08",233.892
"1947-09",471.288
"1947-10",290.832
"1947-11",284.700
"1947-12",291.708
"1948-01",287.328
"1948-02",315.360
"1948-03",417.852
"1948-04",288.204
"1948-05",225.132
"1948-06",430.992
"1948-07",229.512
"1948-08",296.964
"1948-09",355.656
"1948-10",367.920
"1948-11",317.112
"1948-12",359.160
"1949-01",249.660
"1949-02",455.520
"1949-03",607.068
"1949-04",425.736
"1949-05",494.064
"1949-06",486.180
"1949-07",494.064
"1949-08",459.024
"1949-09",543.120
"1949-10",567.648
"1949-11",613.200
"1949-12",791.904
"1950-01",305.724
"1950-02",713.064
"1950-03",1156.320
"1950-04",829.572
"1950-05",865.488
"1950-06",1318.380
"1950-07",971.484
"1950-08",817.308
"1950-09",1079.232
"1950-10",1013.532
"1950-11",986.376
"1950-12",1264.068
"1951-01",997.764
"1951-02",1415.616
"1951-03",1709.952
"1951-04",1443.648
"1951-05",1619.724
"1951-06",2120.796
"1951-07",923.304
"1951-08",860.232
"1951-09",1639.872
"1951-10",1106.388
"1951-11",1161.576
"1951-12",1034.556
"1952-01",960.972
"1952-02",1214.136
"1952-03",1492.704
"1952-04",991.632
"1952-05",1025.796
"1952-06",1399.848
"1952-07",818.184
"1952-08",865.488
"1952-09",1547.892
"1952-10",1003.020
"1952-11",960.972
"1952-12",1568.040
"1953-01",1065.216
"1953-02",1107.264
"1953-03",2411.628
"1953-04",1510.224
"1953-05",1876.392
"1953-06",1792.296
"1953-07",1307.868
"1953-08",1705.572
"1953-09",1945.596
"1953-10",2219.784
"1953-11",2528.136
"1953-12",3534.660
"1954-01",1546.140
"1954-02",2246.064
"1954-03",2930.220
"1954-04",2462.436
"1954-05",2551.788
"1954-06",3140.460
"1954-07",2437.032
"1954-08",2109.408
"1954-09",3853.523
"1954-10",2840.868
"1954-11",3164.112
"1954-12",3946.380
"1955-01",3044.976
"1955-02",3957.768
"1955-03",4552.571
"1955-04",3651.167
"1955-05",3861.408
"1955-06",5048.388
"1955-07",2990.664
"1955-08",2677.056
"1955-09",5566.103
"1955-10",3661.680
"1955-11",2435.280
"1955-12",3550.428
"1956-01",2215.404
"1956-02",3312.156
"1956-03",4289.771
"1956-04",3218.424
"1956-05",3193.020
"1956-06",3542.544
"1956-07",2169.852
"1956-08",1536.504
"1956-09",3454.944
"1956-10",2351.184
